ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_R_NUMBER,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_Xcoord,Metadata_Ycoord,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_DAB_object
1,49,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,1,1071.6176470588234,278.79411764705884,0,49,66
1,50,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,1,1166.641791044776,286.75373134328356,0,50,98
1,51,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,1,1514.9473684210527,286.55263157894734,0,51,94
1,52,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,0,1319.2666666666667,296.8,0,52,0
1,53,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,0,1334.9777777777779,297.53333333333336,0,53,0
1,54,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,0,1266.7391304347825,300.6811594202899,0,54,0
1,55,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,0,1306.2830188679245,301.1320754716981,0,55,0
1,56,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,0,1927.7241379310344,300.2068965517241,0,56,0
1,57,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,0,1908.4347826086957,302.5,0,57,0
1,58,nan,file:/Users/tpeters4/Library/CloudStorage/OneDrive-UMCUtrecht/Documenten/PhD%20Documents/Projecten/SlideToolkit/CellProfiler%20upgrade_study/CD34/DAB/summary/AE2608.CD34.1010.X10000.Y4000.normalized.tile.tissue.png,0,AE2608,1010,CD34,0,nan,X10000,Y4000,0,1362.1975308641975,306.9753086419753,0,58,0
